feature,importance
w60__mean__s03_ti12057_daca_pv,0.0006612030865973096
w60__last__s06_fic12082_daca_pv,0.0006472237953889918
w60__mean__s05_fic12065_pida_op,0.0006046452487657887
w60__mean__s09_fic12069_pida_op,0.0005762361621322842
w60__mean__s08_ti12062_daca_pv,0.0005750601852335324
w60__mean__s02_ti12056_daca_pv,0.0005568787030597451
w60__last__s09_tic12076_pida_op,0.0004361464875842392
w60__mean__s03_fic12076_daca_pv,0.00042094008436416346
w60__last__s09_fic12069_pida_op,0.00034586970429854
w60__last__s12_tic12079_pida_op,0.00034507719867882426
w60__mean__s12_tic12079_pida_op,0.0002572557953595992
w60__last__s03_lic12011_daca_pv,0.00021017331599095768
w60__mean__s04_fic12077_pida_op,0.00020033564877338804
w60__last__s03_ti12031_daca_pv,0.0001919546668244952
w60__mean__s03_ti12031_daca_pv,0.00016195686201207296
w60__last__s12_fic12085_pida_op,0.00015039629108964332
w60__last__s03_tic12070_pida_op,9.864178847459085e-05
w60__mean__s03_tic12070_pida_op,6.873982754259931e-05
w60__last__s03_fic12076_daca_pv,5.622003978275528e-05
w60__mean__s03_tic12044_daca_pv,2.9173569346287848e-05
