feature,importance
w60__std__s05_ti12085_daca_pv,0.000912665226411301
w60__last__s10_ti12064_daca_pv,0.000901631976837947
w60__max__s13_ti12041_daca_pv,0.0009000063780109256
w60__std__s10_fic12083_pida_op,0.0008921708061064722
w60__delta__s12_fic12085_daca_pv,0.0008904124987271513
w60__min__s09_fic12082_daca_pv,0.0008901011877142255
w60__max__s01_fic12061_daca_pv,0.0008862926834833255
w60__std__s02_lic12010_daca_pv,0.000871384486527666
w60__last__s12_pic12037_daca_pv,0.0008615604930861081
w60__std__s12_lic12020_daca_pv,0.0008571649848396091
w60__mean__s10_ti12064_daca_pv,0.0008551806670675109
w60__delta__s06_pi12008_2_daca_pv,0.0008500441965224851
w60__delta__s07_ti12035_daca_pv,0.0008492887376214618
w60__last__s05_fic12065_pida_op,0.0008475656799994023
w60__std__s10_tic12103_daca_pv,0.0008403207161283419
w60__mean__s10_lic12018_daca_pv,0.0008311820672834647
w60__std__s08_fic12081_pida_op,0.000823925704188442
w60__delta__s03_fic12063_pida_op,0.0008198120576482278
w60__std__s02_fic12062_daca_pv,0.0008095597780439412
w60__mean__s01_ti12081_daca_pv,0.0008034600049693556
w60__max__s09_fic12069_daca_pv,0.0007966822448296264
w60__std__s04_lic12012_daca_pv,0.0007884414588551421
w60__mean__s06_lic12017_daca_pv,0.0007731501499892745
w60__last__s08_tic12101_pida_op,0.000765426340824098
w60__delta__s01_tic12042_daca_pv,0.0007644966354241514
w60__last__s13_lic12021_daca_pv,0.0007644571108213073
w60__min__s02_tic12043_daca_pv,0.000762956278590489
w60__max__s03_ti12057_daca_pv,0.0007590147467008296
w60__delta__s13_ti12093_daca_pv,0.0007559845116159172
w60__max__s02_ti12082_daca_pv,0.0007549985977814992
w60__delta__s01_fic12074_daca_pv,0.0007536092176683322
w60__mean__s01_lic12009_daca_pv,0.0007512271129554802
w60__std__s12_ti12040_daca_pv,0.0007506323885887934
w60__delta__s09_ti12037_daca_pv,0.000736892522340349
w60__delta__s07_fic12080_daca_pv,0.0007364835757943379
w60__min__s08_lic12016_daca_pv,0.0007300014770579114
w60__mean__s12_ti12040_daca_pv,0.000729850811852177
w60__last__s03_tic12096_pida_op,0.0007293404758989012
w60__last__s12_tic12105_daca_pv,0.0007289682967998448
w60__mean__s12_pic12037_daca_pv,0.0007289415074659676
w60__min__s07_tic12100_daca_pv,0.0007282280661151654
w60__min__s04_ti12084_daca_pv,0.0007226085300943169
w60__last__s04_lic12012_daca_pv,0.0007219351429457594
w60__min__s08_fic12081_pida_op,0.0007210906479802782
w60__mean__s04_fic12077_pida_op,0.0007071413942668252
w60__delta__s06_tic12050_daca_pv,0.0007051090437537255
w60__delta__s08_fic12081_pida_op,0.0007019182615430203
w60__delta__s02_ti12082_daca_pv,0.0007004007391502627
w60__mean__s06_tic12076_daca_pv,0.0006998943042636987
w60__max__s09_fic12069_pida_op,0.000699849770655048
w60__min__s13_tic12106_pida_op,0.0006947790664887151
w60__min__s13_ti12041_daca_pv,0.0006931191296123174
w60__std__s12_ti12066_daca_pv,0.0006918288971275718
w60__delta__s04_fic12077_daca_pv,0.0006915792384234968
w60__mean__s04_tic12071_daca_pv,0.0006863418219912997
w60__min__s12_tic12053_daca_pv,0.0006817822315425626
w60__mean__s03_ti12057_daca_pv,0.0006817196012758435
w60__last__s05_tic12098_daca_pv,0.0006816595315698354
w60__std__s01_ti12055_daca_pv,0.0006770609446857921
w60__last__s12_tic12105_pida_op,0.0006746734522411617
w60__delta__s12_ti12040_daca_pv,0.0006732478345278665
w60__max__s12_ti12040_daca_pv,0.0006656970171833261
w60__max__s12_ti12092_daca_pv,0.0006640016517882513
w60__min__s02_fic12062_daca_pv,0.0006593015926620243
w60__max__s09_tic12102_pida_op,0.0006591378875925718
w60__max__s12_tic12079_pida_op,0.0006570158743413771
w60__max__s04_fic12077_daca_pv,0.0006568301695744366
w60__min__s04_tic12097_pida_op,0.0006518350027868452
w60__max__s04_fic12064_pida_op,0.0006516174758132202
w60__std__s08_ti12088_daca_pv,0.0006501779757392898
w60__mean__s04_tic12097_daca_pv,0.0006466451812076963
w60__mean__s08_lic12016_daca_pv,0.0006463734174068866
w60__delta__s12_tic12053_daca_pv,0.0006446686672276312
w60__min__s06_pi12008_2_daca_pv,0.0006434249727865124
w60__mean__s02_fic12075_daca_pv,0.0006421581120834084
w60__min__s12_ti12040_daca_pv,0.000641716779597254
w60__min__s13_lic12021_daca_pv,0.000639735054587032
w60__std__s10_ti12038_daca_pv,0.0006359827375459141
w60__max__s06_tic12102_daca_pv,0.0006348607086067877
w60__mean__s12_fic12085_daca_pv,0.0006284423601502843
w60__delta__s13_ti12041_daca_pv,0.0006224920336440858
w60__min__s06_tic12050_daca_pv,0.0006188411871306768
w60__std__s12_pic12037_daca_pv,0.0006143754511422263
w60__max__s07_tic12100_pida_op,0.0006118853264804662
w60__max__s02_tic12095_daca_pv,0.0006118787474543273
w60__min__s07_ti12035_daca_pv,0.000606759054358422
w60__mean__s13_ti12093_daca_pv,0.0006061300058139176
w60__std__s07_tic12048_daca_pv,0.0006057786153164382
w60__mean__s05_ti12085_daca_pv,0.0006050646424461981
w60__min__s12_tic12105_pida_op,0.0006043679723193664
w60__mean__s13_tic12106_pida_op,0.0006039846822949304
w60__std__s08_fic12068_daca_pv,0.0006010565830648298
w60__delta__s05_tic12072_pida_op,0.000600499634214426
w60__max__s02_ti12056_daca_pv,0.0006001135584960321
w60__min__s05_ti12033_daca_pv,0.0005973749779312846
w60__std__s04_tic12097_pida_op,0.0005956596113861137
w60__delta__s03_tic12096_daca_pv,0.0005898848901949712
w60__max__s01_lic12009_daca_pv,0.0005874667664490757
w60__max__s10_tic12103_daca_pv,0.0005868366321853746
w60__delta__s09_tic12102_pida_op,0.000583456522677032
w60__std__s09_tic12076_pida_op,0.000582248223118492
w60__mean__s02_lic12010_daca_pv,0.00057716608851058
w60__mean__s07_tic12100_daca_pv,0.0005760138222664816
w60__std__s07_ti12061_daca_pv,0.0005733790964678325
w60__std__s05_fic12065_daca_pv,0.0005679392723511
w60__std__s02_fic12075_daca_pv,0.0005671834824180208
w60__std__s02_ti12056_daca_pv,0.0005670519989718716
w60__std__s08_tic12101_pida_op,0.0005660570761992658
w60__last__s04_fic12064_pida_op,0.0005638253302079707
w60__mean__s04_fic12064_pida_op,0.0005616046745716369
w60__min__s01_tic12068_daca_pv,0.0005600031568764787
w60__delta__s08_ti12062_daca_pv,0.0005551346763210458
w60__last__s04_tic12045_daca_pv,0.0005542376838309678
w60__mean__s03_ti12083_daca_pv,0.0005540345150592484
w60__mean__s12_tic12105_pida_op,0.0005535660674294941
w60__last__s03_tic12044_daca_pv,0.0005525061087401111
w60__std__s05_tic12046_daca_pv,0.0005519077961729598
w60__min__s04_fic12064_daca_pv,0.0005455312734188561
w60__std__s02_tic12095_daca_pv,0.0005430417723401269
w60__max__s01_tic12042_daca_pv,0.0005424474828103562
w60__std__s04_fic12077_daca_pv,0.0005418241008624537
w60__max__s06_lic12017_daca_pv,0.0005361906459376871
w60__max__s12_tic12105_daca_pv,0.0005359518391987088
w60__max__s02_tic12043_daca_pv,0.0005357239050132536
w60__std__s07_fic12067_daca_pv,0.0005351929388977603
w60__last__s13_tic12106_daca_pv,0.0005288854451931745
w60__delta__s02_fic12062_daca_pv,0.0005234009262443908
w60__std__s13_ti12093_daca_pv,0.0005233827775495409
w60__mean__s12_ti12092_daca_pv,0.0005233382162973282
w60__delta__s10_tic12103_pida_op,0.0005193738933744735
w60__max__s12_lic12020_daca_pv,0.0005174620024383431
w60__min__s03_lic12011_daca_pv,0.0005172146974472004
w60__last__s01_tic12068_daca_pv,0.0005092084957576715
w60__min__s12_ti12092_daca_pv,0.0005080836149966957
w60__std__s12_tic12105_pida_op,0.0005071976979214692
w60__mean__s08_tic12101_pida_op,0.0005063203414478887
w60__delta__s02_ti12030_daca_pv,0.000505892894622415
w60__mean__s06_pi12008_2_daca_pv,0.0005018656207581049
w60__max__s04_ti12084_daca_pv,0.000500989582240251
w60__max__s07_ti12087_daca_pv,0.000496861515711699
w60__max__s08_tic12075_pida_op,0.0004957085854989113
w60__last__s12_ti12040_daca_pv,0.0004944185311727926
w60__min__s05_tic12098_pida_op,0.0004903955085821857
w60__std__s06_ti12063_daca_pv,0.0004887304789301003
w60__delta__s07_tic12074_pida_op,0.00048808960202665534
w60__min__s07_tic12074_pida_op,0.00048351243814153094
w60__std__s10_lic12018_daca_pv,0.00048246971218571596
w60__min__s03_fic12076_pida_op,0.00048161051333340285
w60__std__s06_tic12050_daca_pv,0.00047731556398355383
w60__last__s05_tic12046_daca_pv,0.00047425056732954614
w60__mean__s13_tic12054_daca_pv,0.00047278259850433923
w60__max__s04_tic12071_daca_pv,0.00047222220317624623
w60__std__s05_fic12078_daca_pv,0.0004711461973839188
w60__last__s01_ti12029_daca_pv,0.0004668931531889518
w60__mean__s12_lic12020_daca_pv,0.0004665280757084539
w60__delta__s10_fic12083_pida_op,0.00046335079393392887
w60__last__s09_lic12017_daca_pv,0.0004629873579455579
w60__std__s09_ti12089_daca_pv,0.0004583897489962036
w60__mean__s06_ti12063_daca_pv,0.0004580928647961069
w60__delta__s05_fic12078_pida_op,0.000453536197392973
w60__min__s09_fic12069_pida_op,0.00045222000208224115
w60__min__s05_ti12059_daca_pv,0.00045011266737503107
w60__delta__s04_tic12097_daca_pv,0.0004485424987592365
w60__last__s04_tic12097_daca_pv,0.0004454461080589207
w60__delta__s04_lic12012_daca_pv,0.00044510422666904284
w60__last__s09_ti12037_daca_pv,0.00044447762916581296
w60__delta__s05_ti12085_daca_pv,0.0004440405846625023
w60__max__s05_lic12013_daca_pv,0.0004422804773938707
w60__std__s13_tic12106_daca_pv,0.0004307992141950686
w60__last__s06_tic12076_daca_pv,0.00042812990419084234
w60__std__s12_tic12105_daca_pv,0.00042618324124181375
w60__std__s01_fic12074_daca_pv,0.00042560062853530794
w60__std__s09_tic12102_pida_op,0.000416287355436333
w60__max__s13_tic12106_daca_pv,0.00041625635990653415
w60__min__s10_fic12083_daca_pv,0.0004152414756521143
w60__min__s07_lic12015_daca_pv,0.0004137213396618617
